Unnamed: 0,City Code,City,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b],Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index,Absolute value in thousands,Urban population as percentage of total population,Economy
24,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,821.498,48.58306,64
25,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,13625.507,73.72129,68
26,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27.904,76.50865,535
27,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3111.789,53.56988,70
28,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2972.271,76.82219,72
29,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,223908.968,89.27756,76
30,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,32.995,52.78715,92
31,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,473.312,81.09262,96
32,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6290.166,79.02942,100
33,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27523.563,37.11521,854
34,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,15800.53,17.59775,108
35,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,638.84,70.85149,132
36,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,18084.248,29.03399,116
37,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34051.103,63.24237,120
38,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41008.596,82.87756,124
39,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,72.865,100,136
40,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7104.274,47.6457,140
41,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,22460.393,27.11687,148
42,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19933.769,88.83862,152
43,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1415605.906,70.62589,156
44,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7485.887,100,344
45,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,763.371,100,446
46,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,24027.999,82.40642,158
47,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54129.764,84.32281,170
48,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,959.412,32.52299,174
49,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7114.987,72.28031,178
50,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,127582.053,51.76184,180
51,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17.253,77.83999,184
52,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5432.243,85.78813,188
53,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34211.272,56.72972,384
54,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3850.14,61.45374,191
55,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11016.041,78.70167,192
56,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,197.829,89.33031,531
57,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,965.922,68.06725,196
58,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10515.199,76.07274,203
59,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,200
60,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6104.474,89.44563,208
61,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1247.129,79.96937,262
62,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,74.988,74.15489,212
63,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11982.523,87.76487,214
64,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19486.952,66.73212,218
65,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,125151.725,44.77278,818
66,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6554.224,79.15255,222
67,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1999.678,77.20733,226
68,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4283.355,47.78627,232
69,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1289.441,71.42056,233
70,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1305.985,26.53467,748
71,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,149296.378,26.85552,231
72,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,230
73,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3.869,82.01709,238
74,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54.583,44.77116,234
75,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,986.172,61.96492,242
76,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5565.475,86.59761,246
77,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,68147.584,83.81575,251
78,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,65543.452,83.6429,250
79,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,366.669,87.93716,254
80,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,399.728,98.66593,312
81,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,362.472,90.09205,474
82,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,407.579,45.73528,175
83,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35.862,100,492
84,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1031.822,99.85297,638
85,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,324.86,63.48644,258
86,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2774.523,92.66258,266
87,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3263.651,68.49437,270
88,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3657.494,63.87106,268
89,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,82762.675,78.93083,276
90,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,280
91,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,38775.85,63.39033,288
92,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,32.771,100,292
93,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10059.703,82.77185,300
94,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,57.152,89.2972,304
95,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,130.367,38.87113,308
96,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,180.746,95.66044,316
97,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,20003.638,56.42329,320
98,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16622.388,41.40501,324
99,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2484.863,48.48924,624
100,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,848.033,28.55177,328
101,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,12700.006,64.92257,332
102,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,0.561,100,336
103,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11724.522,64.30749,340
104,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9642.912,75.14176,348
105,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,390.338,94.4397,352
106,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1514994.08,40.14196,356
107,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,292150.1,62.84106,360
108,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,960
109,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,92921.017,80.12858,364
110,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,52800.825,73.56423,368
111,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5266.881,66.75128,372
112,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10134.951,93.52548,376
113,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,57544.258,74.27447,380
114,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2804.356,60.34889,388
115,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,118514.802,92.70406,392
116,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11933.395,93.18697,400
117,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,21128.221,60.02445,398
118,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,63103.942,33.4274,404
119,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,148.72,62.16917,296
120,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,26569.401,65.55121,408
121,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,51290.214,82.04923,410
122,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4564.57,100,414
123,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7435.378,40.89447,417
124,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,8321.287,42.89111,418
125,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1701.338,69.93982,428
126,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4714.24,90.60416,422
127,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2501.946,34.00052,426
128,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6282.074,57.30025,430
129,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7394.813,83.63084,434
130,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2558.928,70.63786,440
131,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,697.086,93.21078,442
132,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35604.443,45.23962,450
133,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,24944.243,20.88597,454
134,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,36687.569,81.78584,458
135,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,512.683,45.04617,462
136,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,28712.294,51.18747,466
137,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,543.425,95.39439,470
138,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,44.733,81.06554,584
139,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5830.563,62.66209,478
140,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1305.425,41.85048,480
141,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,134534.107,83.50126,484
142,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,122.704,24.91101,583
143,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3174.727,45.50143,498
144,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3736.327,70.61146,496
145,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,621.696,70.86867,499
146,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4.301,9.8555,500
147,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40226.395,68.6715,504
148,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40920.707,42.8743,508
149,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,56987.625,34.9904,104
150,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2910.056,60.76162,516
151,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,13.358,100,520
152,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33133.395,25.34982,524
153,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17943.803,94.75076,528
154,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,530
155,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,312.529,75.28916,540
156,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5495.67,87.83508,554
157,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7688.686,62.26281,558
158,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35217.942,18.69501,562
159,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,262580.426,59.18936,566
160,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1.948,52.44922,570
161,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2072.256,62.74877,807
162,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,51.178,92.75385,580
163,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5748.397,86.08266,579
164,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5093.376,91.68713,512
165,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,582
166,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,274029.836,40.67977,586
167,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17.919,85.04443,585
168,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4864.126,72.22325,591
169,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,590
170,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11615.322,15.18458,598
171,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7425.448,65.70171,600
172,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,36702.393,80.53653,604
173,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,129453.321,50.92364,608
174,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,38700.518,61.53888,616
175,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10062.183,71.36598,620
176,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2855.291,99.53179,634
177,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19023.383,56.63021,642
178,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,141432.741,77.08434,643
179,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16375.704,19.61928,646
180,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11.113,98.66593,652
181,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4.895,42.69115,654
182,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,48.247,32.41589,659
183,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,183.274,20.36444,662
184,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33.508,98.66593,663
185,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5.651,90.59456,666
186,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,104.322,57.2931,670
187,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,248.627,17.28801,882
188,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33.458,98.37696,674
189,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,265.036,80.03211,678
190,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40461.368,86.48094,682
191,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,21125.872,53.23652,686
192,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,8523.492,59.2793,688
193,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,891
194,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,111.317,61.74472,690
195,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10105.188,47.84876,694
196,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6251.988,100,702
197,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,44.946,100,534
198,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5555.114,55.63947,703
199,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2105.945,58.81146,705
200,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,856.264,29.11597,90
201,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,22316.857,52.14413,706
202,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,64659.278,72.06496,710
203,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,12570.402,24.13075,728
204,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,47076.573,83.31267,724
205,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,22186.97,21.08539,144
206,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6256.949,79.70663,275
207,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,56997.099,39.70476,729
208,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,736
209,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,659.508,67.61506,740
210,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11007.228,90.26568,752
211,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9184.728,75.09923,757
212,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41.03,15.49929,438
213,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9143.698,75.36667,756
214,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,29824.735,61.72195,760
215,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11421.43,30.7691,762
216,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,81885.304,42.44705,834
217,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,72060.018,58.41992,764
218,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1495.081,35.21731,626
219,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10558.178,48.59889,768
220,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2.046,0,772
221,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,114.124,23.82388,776
222,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1547.69,54.80028,780
