,Unnamed: 0,City Code,City,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b],Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index,Absolute value in thousands,Urban population as percentage of total population,Economy,Country,Employment_to_Population_Ratio
20,20,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11873.46,98.41559,56,armenia,54.828
21,21,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,450.428,48.58791,84,armenia,54.828
22,22,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16393.827,54.13784,204,armenia,54.828
23,23,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,62.806,100,60,armenia,54.828
24,24,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,821.498,48.58306,64,armenia,54.828
25,25,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,13625.507,73.72129,68,armenia,54.828
26,26,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27.904,76.50865,535,armenia,54.828
27,27,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3111.789,53.56988,70,armenia,54.828
28,28,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2972.271,76.82219,72,armenia,54.828
29,29,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,223908.968,89.27756,76,armenia,54.828
30,30,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,32.995,52.78715,92,armenia,54.828
31,31,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,473.312,81.09262,96,armenia,54.828
32,32,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6290.166,79.02942,100,armenia,54.828
33,33,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,27523.563,37.11521,854,armenia,54.828
34,34,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,15800.53,17.59775,108,armenia,54.828
35,35,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,638.84,70.85149,132,armenia,54.828
36,36,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,18084.248,29.03399,116,armenia,54.828
37,37,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34051.103,63.24237,120,armenia,54.828
38,38,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41008.596,82.87756,124,armenia,54.828
39,39,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,72.865,100,136,armenia,54.828
40,40,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7104.274,47.6457,140,armenia,54.828
41,41,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,22460.393,27.11687,148,armenia,54.828
42,42,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19933.769,88.83862,152,armenia,54.828
43,43,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1415605.906,70.62589,156,armenia,54.828
44,44,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7485.887,100,344,armenia,54.828
45,45,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,763.371,100,446,armenia,54.828
46,46,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,24027.999,82.40642,158,armenia,54.828
47,47,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54129.764,84.32281,170,armenia,54.828
48,48,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,959.412,32.52299,174,armenia,54.828
49,49,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7114.987,72.28031,178,armenia,54.828
50,50,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,127582.053,51.76184,180,armenia,54.828
51,51,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17.253,77.83999,184,armenia,54.828
52,52,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5432.243,85.78813,188,armenia,54.828
53,53,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,34211.272,56.72972,384,armenia,54.828
54,54,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3850.14,61.45374,191,armenia,54.828
55,55,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11016.041,78.70167,192,armenia,54.828
56,56,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,197.829,89.33031,531,armenia,54.828
57,57,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,965.922,68.06725,196,armenia,54.828
58,58,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10515.199,76.07274,203,armenia,54.828
59,59,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,200,armenia,54.828
60,60,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6104.474,89.44563,208,armenia,54.828
61,61,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1247.129,79.96937,262,armenia,54.828
62,62,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,74.988,74.15489,212,armenia,54.828
63,63,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11982.523,87.76487,214,armenia,54.828
64,64,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19486.952,66.73212,218,armenia,54.828
65,65,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,125151.725,44.77278,818,armenia,54.828
66,66,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6554.224,79.15255,222,armenia,54.828
67,67,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1999.678,77.20733,226,armenia,54.828
68,68,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4283.355,47.78627,232,armenia,54.828
69,69,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1289.441,71.42056,233,armenia,54.828
70,70,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1305.985,26.53467,748,armenia,54.828
71,71,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,149296.378,26.85552,231,armenia,54.828
72,72,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,230,armenia,54.828
73,73,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3.869,82.01709,238,armenia,54.828
74,74,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,54.583,44.77116,234,armenia,54.828
75,75,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,986.172,61.96492,242,armenia,54.828
76,76,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5565.475,86.59761,246,armenia,54.828
77,77,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,68147.584,83.81575,251,armenia,54.828
78,78,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,65543.452,83.6429,250,armenia,54.828
79,79,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,366.669,87.93716,254,armenia,54.828
80,80,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,399.728,98.66593,312,armenia,54.828
81,81,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,362.472,90.09205,474,armenia,54.828
82,82,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,407.579,45.73528,175,armenia,54.828
83,83,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35.862,100,492,armenia,54.828
84,84,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1031.822,99.85297,638,armenia,54.828
85,85,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,324.86,63.48644,258,armenia,54.828
86,86,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2774.523,92.66258,266,armenia,54.828
87,87,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3263.651,68.49437,270,armenia,54.828
88,88,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3657.494,63.87106,268,armenia,54.828
89,89,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,82762.675,78.93083,276,armenia,54.828
90,90,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,280,armenia,54.828
91,91,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,38775.85,63.39033,288,armenia,54.828
92,92,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,32.771,100,292,armenia,54.828
93,93,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10059.703,82.77185,300,armenia,54.828
94,94,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,57.152,89.2972,304,armenia,54.828
95,95,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,130.367,38.87113,308,armenia,54.828
96,96,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,180.746,95.66044,316,armenia,54.828
97,97,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,20003.638,56.42329,320,armenia,54.828
98,98,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16622.388,41.40501,324,armenia,54.828
99,99,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2484.863,48.48924,624,armenia,54.828
100,100,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,848.033,28.55177,328,armenia,54.828
101,101,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,12700.006,64.92257,332,armenia,54.828
102,102,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,0.561,100,336,armenia,54.828
103,103,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11724.522,64.30749,340,armenia,54.828
104,104,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9642.912,75.14176,348,armenia,54.828
105,105,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,390.338,94.4397,352,armenia,54.828
106,106,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1514994.08,40.14196,356,armenia,54.828
107,107,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,292150.1,62.84106,360,armenia,54.828
108,108,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,960,armenia,54.828
109,109,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,92921.017,80.12858,364,armenia,54.828
110,110,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,52800.825,73.56423,368,armenia,54.828
111,111,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5266.881,66.75128,372,armenia,54.828
112,112,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10134.951,93.52548,376,armenia,54.828
113,113,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,57544.258,74.27447,380,armenia,54.828
114,114,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2804.356,60.34889,388,armenia,54.828
115,115,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,118514.802,92.70406,392,armenia,54.828
116,116,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11933.395,93.18697,400,armenia,54.828
117,117,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,21128.221,60.02445,398,armenia,54.828
118,118,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,63103.942,33.4274,404,armenia,54.828
119,119,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,148.72,62.16917,296,armenia,54.828
120,120,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,26569.401,65.55121,408,armenia,54.828
121,121,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,51290.214,82.04923,410,armenia,54.828
122,122,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4564.57,100,414,armenia,54.828
123,123,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7435.378,40.89447,417,armenia,54.828
124,124,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,8321.287,42.89111,418,armenia,54.828
125,125,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1701.338,69.93982,428,armenia,54.828
126,126,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4714.24,90.60416,422,armenia,54.828
127,127,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2501.946,34.00052,426,armenia,54.828
128,128,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,6282.074,57.30025,430,armenia,54.828
129,129,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7394.813,83.63084,434,armenia,54.828
130,130,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2558.928,70.63786,440,armenia,54.828
131,131,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,697.086,93.21078,442,armenia,54.828
132,132,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35604.443,45.23962,450,armenia,54.828
133,133,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,24944.243,20.88597,454,armenia,54.828
134,134,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,36687.569,81.78584,458,armenia,54.828
135,135,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,512.683,45.04617,462,armenia,54.828
136,136,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,28712.294,51.18747,466,armenia,54.828
137,137,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,543.425,95.39439,470,armenia,54.828
138,138,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,44.733,81.06554,584,armenia,54.828
139,139,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5830.563,62.66209,478,armenia,54.828
140,140,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1305.425,41.85048,480,armenia,54.828
141,141,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,134534.107,83.50126,484,armenia,54.828
142,142,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,122.704,24.91101,583,armenia,54.828
143,143,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3174.727,45.50143,498,armenia,54.828
144,144,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,3736.327,70.61146,496,armenia,54.828
145,145,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,621.696,70.86867,499,armenia,54.828
146,146,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4.301,9.8555,500,armenia,54.828
147,147,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40226.395,68.6715,504,armenia,54.828
148,148,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40920.707,42.8743,508,armenia,54.828
149,149,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,56987.625,34.9904,104,armenia,54.828
150,150,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2910.056,60.76162,516,armenia,54.828
151,151,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,13.358,100,520,armenia,54.828
152,152,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33133.395,25.34982,524,armenia,54.828
153,153,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17943.803,94.75076,528,armenia,54.828
154,154,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,530,armenia,54.828
155,155,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,312.529,75.28916,540,armenia,54.828
156,156,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5495.67,87.83508,554,armenia,54.828
157,157,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7688.686,62.26281,558,armenia,54.828
158,158,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,35217.942,18.69501,562,armenia,54.828
159,159,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,262580.426,59.18936,566,armenia,54.828
160,160,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1.948,52.44922,570,armenia,54.828
161,161,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2072.256,62.74877,807,armenia,54.828
162,162,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,51.178,92.75385,580,armenia,54.828
163,163,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5748.397,86.08266,579,armenia,54.828
164,164,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5093.376,91.68713,512,armenia,54.828
165,165,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,582,armenia,54.828
166,166,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,274029.836,40.67977,586,armenia,54.828
167,167,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,17.919,85.04443,585,armenia,54.828
168,168,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4864.126,72.22325,591,armenia,54.828
169,169,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,590,armenia,54.828
170,170,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11615.322,15.18458,598,armenia,54.828
171,171,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,7425.448,65.70171,600,armenia,54.828
172,172,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,36702.393,80.53653,604,armenia,54.828
173,173,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,129453.321,50.92364,608,armenia,54.828
174,174,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,38700.518,61.53888,616,armenia,54.828
175,175,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10062.183,71.36598,620,armenia,54.828
176,176,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2855.291,99.53179,634,armenia,54.828
177,177,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,19023.383,56.63021,642,armenia,54.828
178,178,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,141432.741,77.08434,643,armenia,54.828
179,179,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16375.704,19.61928,646,armenia,54.828
180,180,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11.113,98.66593,652,armenia,54.828
181,181,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,4.895,42.69115,654,armenia,54.828
182,182,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,48.247,32.41589,659,armenia,54.828
183,183,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,183.274,20.36444,662,armenia,54.828
184,184,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33.508,98.66593,663,armenia,54.828
185,185,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,5.651,90.59456,666,armenia,54.828
186,186,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,104.322,57.2931,670,armenia,54.828
187,187,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,248.627,17.28801,882,armenia,54.828
188,188,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,33.458,98.37696,674,armenia,54.828
189,189,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,265.036,80.03211,678,armenia,54.828
190,190,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,40461.368,86.48094,682,armenia,54.828
191,191,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,21125.872,53.23652,686,armenia,54.828
